locus,ancestry_population,Sample1,Sample2,jaccard_distance,overlap_coefficient
IGH,EUR,P28_I101_S1,P28_I129_S1,0.380952380952381,0.792682926829268
IGH,EUR,P28_I107_S1,P28_I129_S1,0.177083333333333,0.908045977011494
IGH,EUR,P28_I109_S1,P28_I129_S1,0.456896551724138,0.715909090909091
IGH,EUR,P28_I10_S1,P28_I129_S1,0.461538461538462,0.795454545454545
IGH,EUR,P28_I116_S1,P28_I129_S1,0.398305084745763,0.806818181818182
IGH,EUR,P28_I117_S1,P28_I129_S1,0.405172413793103,0.784090909090909
IGH,EUR,P28_I118_S1,P28_I129_S1,0.366071428571429,0.806818181818182
IGH,EUR,P28_I119_S1,P28_I129_S1,0.29126213592233,0.829545454545455
IGH,EUR,P28_I120_S1,P28_I129_S1,0.378151260504202,0.840909090909091
IGH,EUR,P28_I123_S1,P28_I129_S1,0.2,0.909090909090909
IGH,EUR,P28_I124_S1,P28_I129_S1,0.238095238095238,0.909090909090909
IGH,EUR,P28_I125_S1,P28_I129_S1,0.315315315315315,0.863636363636364
IGH,EUR,P28_I126_S1,P28_I129_S1,0.28695652173913,0.931818181818182
IGH,EUR,P28_I127_S1,P28_I129_S1,0.364406779661017,0.852272727272727
IGH,EUR,P28_I128_S1,P28_I129_S1,0.491379310344828,0.67816091954023
IGH,EUR,P28_I100_S1,P28_I12_S1,0.4,0.78125
IGH,EUR,P28_I101_S1,P28_I12_S1,0.320754716981132,0.878048780487805
IGH,EUR,P28_I107_S1,P28_I12_S1,0.273584905660377,0.885057471264368
IGH,EUR,P28_I109_S1,P28_I12_S1,0.373913043478261,0.791208791208791
IGH,EUR,P28_I10_S1,P28_I12_S1,0.470588235294118,0.75
IGH,EUR,P28_I116_S1,P28_I12_S1,0.330508474576271,0.822916666666667
IGH,EUR,P28_I117_S1,P28_I12_S1,0.35042735042735,0.791666666666667
IGH,EUR,P28_I118_S1,P28_I12_S1,0.279279279279279,0.842105263157895
IGH,EUR,P28_I119_S1,P28_I12_S1,0.264150943396226,0.886363636363636
IGH,EUR,P28_I120_S1,P28_I12_S1,0.465648854961832,0.729166666666667
IGH,EUR,P28_I123_S1,P28_I12_S1,0.336283185840708,0.815217391304348
IGH,EUR,P28_I124_S1,P28_I12_S1,0.292035398230089,0.833333333333333
IGH,EUR,P28_I125_S1,P28_I12_S1,0.274336283185841,0.854166666666667
IGH,EUR,P28_I126_S1,P28_I12_S1,0.305785123966942,0.875
IGH,EUR,P28_I127_S1,P28_I12_S1,0.417322834645669,0.770833333333333
IGH,EUR,P28_I128_S1,P28_I12_S1,0.487603305785124,0.71264367816092
IGH,EUR,P28_I129_S1,P28_I12_S1,0.311926605504587,0.852272727272727
IGH,EUR,P28_I100_S1,P28_I130_S1,0.35,0.829787234042553
IGH,EUR,P28_I101_S1,P28_I130_S1,0.339622641509434,0.853658536585366
IGH,EUR,P28_I107_S1,P28_I130_S1,0.439655172413793,0.747126436781609
IGH,EUR,P28_I109_S1,P28_I130_S1,0.36283185840708,0.791208791208791
IGH,EUR,P28_I10_S1,P28_I130_S1,0.403100775193798,0.819148936170213
IGH,EUR,P28_I116_S1,P28_I130_S1,0.227272727272727,0.904255319148936
IGH,EUR,P28_I117_S1,P28_I130_S1,0.263636363636364,0.861702127659575
IGH,EUR,P28_I118_S1,P28_I130_S1,0.297297297297297,0.829787234042553
IGH,EUR,P28_I119_S1,P28_I130_S1,0.389380530973451,0.784090909090909
IGH,EUR,P28_I120_S1,P28_I130_S1,0.395161290322581,0.797872340425532
IGH,EUR,P28_I123_S1,P28_I130_S1,0.487804878048781,0.684782608695652
IGH,EUR,P28_I124_S1,P28_I130_S1,0.353448275862069,0.797872340425532
